Rank,Peak,Film Title
1,1,Avatar
2,1,Avengers: Endgame
3,3,Avatar: The Way of Water
4,1,Titanic
5,3,Star Wars: The Force Awakens
6,4,Avengers: Infinity War
7,6,Spider-Man: No Way Home
8,3,Jurassic World
9,7,The Lion King
10,3,The Avengers
11,4,Furious 7
12,11,Top Gun: Maverick
13,10,Frozen II
14,14,Barbie
15,5,Avengers: Age of Ultron
16,15,The Super Mario Bros. Movie †
17,9,Black Panther
18,3,Harry Potter and the Deathly Hallows – Part 2
19,9,Star Wars: The Last Jedi
20,12,Jurassic World: Fallen Kingdom
21,5,Frozen
22,10,Beauty and the Beast
23,15,Incredibles 2
24,11,The Fate of the Furious
25,5,Iron Man 3
26,10,Minions
27,12,Captain America: Civil War
28,20,Aquaman
29,2,The Lord of the Rings: The Return of the King
30,24RK,Spider-Man: Far From Home
31,23RK,Captain Marvel
32,5RK,Transformers: Dark of the Moon
33,7,Skyfall
34,10,Transformers: Age of Extinction
35,7,The Dark Knight Rises
36,31,Joker
37,32,Star Wars: The Rise of Skywalker
38,30,Toy Story 4
39,4TS3,Toy Story 3
40,3,Pirates of the Caribbean: Dead Man's Chest
41,20,Rogue One: A Star Wars Story
42,34,Aladdin
43,6,Pirates of the Caribbean: On Stranger Tides
44,2,Star Wars: Episode I – The Phantom Menace †
45,1,Jurassic Park
46,24,Despicable Me 3
47,22,Finding Dory
48,5,Alice in Wonderland
49,24,Zootopia
50,14,The Hobbit: An Unexpected Journey
